ed_0,fat_0,ed_60,fat_60,ed_90,fat_90
37.84922395,8747.514911,41.84035477,79125.24851,61.92904656,120477.1372
37.84922395,10735.58648,41.84035477,83101.39165,62.19512195,109741.5507
37.84922395,12326.04374,41.84035477,87475.14911,62.19512195,107355.8648
62.19512195,44135.18887,51.81818182,116500.994,61.79600887,94234.59245
62.19512195,54473.16103,51.81818182,107753.4791,62.19512195,86679.92048
62.19512195,56461.2326,51.68514412,99403.57853,47.42793792,90258.4493
62.06208426,70775.34791,74.70066519,129622.2664,47.56097561,98210.73559
76.5631929,37773.35984,74.70066519,149900.5964,47.56097561,104970.1789
76.5631929,48508.94632,74.70066519,152683.8966,83.3481153,79125.24851
76.43015521,63220.67594,62.19512195,166600.3976,83.48115299,69582.50497
37.84922395,8747.514911,62.19512195,157455.2684,83.3481153,53280.31809
62.19512195,55666.00398,62.19512195,194831.0139,61.92904656,120477.1372
