NAME,IDENTIFIER,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Power (W),PREPARATION STEP DETAIL: Scan Speed (mm/s),PREPARATION STEP DETAIL: Layer Thickness (um),PREPARATION STEP DETAIL: Build Orientation (°),PROPERTY: Ra (um),PROPERTY: Rms (um),PROPERTY: Rt (um),PROPERTY: Rsk (na),PROPERTY: Rku (na),PROPERTY: RzDIN (um),PROPERTY: RzJIS (um),PROPERTY: Asperity Density (#/100 um2),PROPERTY: Asperity Radius (um),PROPERTY: Standard Deviation Asperity Height (um),Energy density,fatigue
IN718,P1_A,Manufacture,220,1180,30,60,15.96,24.46,203.14,1.1428,1.413766667,147.13,118.11,56.16,0.43,101.58,62.14689266,166600.3976
IN718,P1_B,Manufacture,220,1180,30,60,16.21,23.45,164.86,1.13285,1.3852,130.66,102.2,56.91,0.43,82.39,62.14689266,157455.2684
IN718,P1_C,Manufacture,220,1180,30,60,18.18,27.27,214.82,1.1033,1.2855,172.4,146.7,52.78,0.38,118.83,62.14689266,194831.0139
IN718,P2_A,Manufacture,330,1770,30,0,61.18,83.22,486.24,1.1971,1.5898,391.84,301.56,39.06,0.23,257.12,62.14689266,44135.18887
IN718,P2_B,Manufacture,330,1770,30,0,44.58,58.63,298.58,1.2256,1.6798,276.09,218.85,38.91,0.3,180.73,62.14689266,54473.16103
IN718,P2_C,Manufacture,330,1770,30,0,52.31,68.84,347.06,1.191,1.5313,312.12,258.26,41.55,0.27,176.96,62.14689266,56461.2326
IN718,P3_A,Manufacture,115,620,30,90,18.081,27.678,242.62,1.1324,1.3769,164.84,116.76,58.307,0.399,107.37,61.82795699,94234.59245
IN718,P3_B,Manufacture,115,620,30,90,22.985,31.427,197.75,1.1256,1.3617,165.36,142.5,54.779,0.3885,114,61.82795699,120477.1372
IN718,P3_C,Manufacture,115,620,30,90,22.911,31.385,214.64,1.1784,1.5359,173.49,146.94,56.416,0.378,110.86,61.82795699,120477.1372
IN718,P4_A,Manufacture,168,1475,30,0,49.92,65.77,391.95,1.2379,1.702066667,318.28,261.42,54.32,0.83,204.44,37.96610169,44135.18887
IN718,P4_B,Manufacture,168,1475,30,0,58.84,75.1,376.16,1.2161,1.6038,338.2,270.98,49.66,0.79,218.17,37.96610169,54473.16103
IN718,P4_C,Manufacture,168,1475,30,0,43.54,55.87,282.96,1.2116,1.5998,254.7,212.23,43.76,0.28,143.5,37.96610169,56461.2326
IN718,P5_A,Manufacture,275,1200,30,0,47.24,62.16,513.61,1.209766667,1.646533333,311.23,302.06,47.63,0.52,243.78,76.38888889,37773.35984
IN718,P5_B,Manufacture,275,1200,30,0,46.33,63.13,486.57,1.286066667,1.930833333,296.38,259.66,52.12,0.52,230.52,76.38888889,48508.94632
IN718,P5_C,Manufacture,275,1200,30,0,34.9,49.77,345.92,1.201566667,1.6093,266.97,231.47,50.17,0.49,197.34,76.38888889,63220.67594
IN718,P6_A,Manufacture,115,915,30,60,21.34,29.11,187.76,1.2236,1.6888,153.23,118.63,55.17,0.38,78.63,41.89435337,79125.24851
IN718,P6_B,Manufacture,115,915,30,60,24.92,33.69,216.5,1.147266667,1.453466667,176.9,148.43,62.91,0.43,113.64,41.89435337,83101.39165
IN718,P6_C,Manufacture,115,915,30,60,24.87,33.02,209.63,1.165466667,1.477333333,172.42,140.44,62.31,0.43,100.22,41.89435337,87475.14911
IN718,P7_A,Manufacture,330,1475,30,60,20.02,27.44,176.55,1.2104,1.617666667,149.73,126.48,56.21,0.37,93.05,74.57627119,129622.2664
IN718,P7_B,Manufacture,330,1475,30,60,19.11,27.63,185.84,1.130766667,1.367766667,159.17,146.91,52.4,0.39,109.63,74.57627119,149900.5964
IN718,P7_C,Manufacture,330,1475,30,60,16.4,25.94,212.06,1.1904,1.571333333,144.34,122.67,58.68,0.41,106.63,74.57627119,152683.8966
IN718,P8_A,Manufacture,168,1180,30,90,25.546,35.227,244.9,1.4186,2.3547,191.97,141.71,59.126,0.336,115.48,47.45762712,90258.4493
IN718,P8_B,Manufacture,168,1180,30,90,21.063,26.89,160.52,1.206033333,1.6025,132.03,97.398,60.659,0.4095,74.245,47.45762712,98210.73559
IN718,P8_C,Manufacture,168,1180,30,90,23.321,29.558,179.06,1.295,1.988066667,142.86,114.47,58.832,0.399,74.277,47.45762712,104970.1789
