Label,Sample,Side,Scan,Ra,Rms,unk1,unk2,unk3,Power (C1),Scan Speed (C1),Power (C2),Scan Speed (C2),Power (Fill),Scan Speed (Fill),Layer Thickness,Build Orientation,Scan Strategy,Spot Size,Stress Mean,Stress ratio,Fatigue life
,,,,(um),(um),,,,(W),(mm/s),(W),(mm/s),(W),(mm/s),(um),(°),-,(um),MPa,R,(cycles)
P1,A,1,A,11.8082,16.5946,0.0051,0.5493,55.43,115,625,115,625,220,1180,30,45,C1-C2-Fill,50,330,0.1,194329
P1,A,1,B,12.975,17.6105,0.005,0.5447,50.78,115,625,115,625,220,1180,30,45,C1-C2-Fill,50,330,0.1,194329
P1,A,1,C,13.9203,20.6364,0.0045,0.5161,72.65,115,625,115,625,220,1180,30,45,C1-C2-Fill,50,330,0.1,194329
P1,A,2,A,21.7878,30.2055,0.0041,0.4188,105.34,115,625,115,625,220,1180,30,45,C1-C2-Fill,50,330,0.1,194329
P1,A,2,B,24.933,33.4009,0.0041,0.3917,112.75,115,625,115,625,220,1180,30,45,C1-C2-Fill,50,330,0.1,194329
P1,A,2,C,26.7316,35.6263,0.0039,0.3798,104.33,115,625,115,625,220,1180,30,45,C1-C2-Fill,50,330,0.1,194329
P1,A,3,A,15.9645,24.463,0.0041,0.4975,101.46,115,625,115,625,220,1180,30,45,C1-C2-Fill,50,330,0.1,194329
P1,A,3,B,17.0546,23.8003,0.0042,0.4973,73.95,115,625,115,625,220,1180,30,45,C1-C2-Fill,50,330,0.1,194329
P1,B,1,A,16.7751,25.722,0.004,0.4557,93.14,115,625,115,625,220,1180,30,45,C1-C2-Fill,50,330,0.1,166142
P1,B,2,A,29.5371,40.0102,0.0038,0.3577,149.71,115,625,115,625,220,1180,30,45,C1-C2-Fill,50,330,0.1,166142
P1,B,2,B,28.6596,39.5308,0.0038,0.3648,119.54,115,625,115,625,220,1180,30,45,C1-C2-Fill,50,330,0.1,166142
P1,B,3,A,16.2082,23.4455,0.0042,0.5035,82.26,115,625,115,625,220,1180,30,45,C1-C2-Fill,50,330,0.1,166142
P1,C,1,A,13.1856,20.5795,0.0043,0.5109,90.04,115,625,115,625,220,1180,30,45,C1-C2-Fill,50,330,0.1,157020
P1,C,2,A,26.3347,37.3064,0.0038,0.3664,136.26,115,625,115,625,220,1180,30,45,C1-C2-Fill,50,330,0.1,157020
P1,C,3,A,18.1768,27.2695,0.004,0.4425,118.7,115,625,115,625,220,1180,30,45,C1-C2-Fill,50,330,0.1,157020
P2,A,1,B,18.89,29.2,0.0033,0.5262,111.68,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,56018
P2,A,1,C,19.77,29,0.0033,0.5461,103.01,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,56018
P2,A,2,A,28.7,40.38,0.0033,0.4123,140.73,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,56018
P2,A,2,B,26.83,38.26,0.0033,0.4066,143.35,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,56018
P2,A,2,C,28.61,39.95,0.0032,0.4301,143.06,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,56018
P2,A,3,A,61.18,83.22,0.003,0.2585,256.86,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,56018
P2,A,4,A,39.5,51.49,0.0039,0.4648,177.43,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,56018
P2,B,1,A,15.87,23.02,0.0034,0.623,75.01,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,70523
P2,B,1,B,20.35,32.33,0.003,0.4833,182.7,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,70523
P2,B,2,A,20.82,28.48,0.0034,0.5447,85.07,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,70523
P2,B,2,B,23.11,30.29,0.0035,0.5277,74.64,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,70523
P2,B,3,A,44.58,58.63,0.003,0.3373,180.5,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,70523
P2,B,4,A,36.67,47.71,0.0035,0.5009,204.05,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,70523
P2,C,1,A,21.27,30.57,0.0033,0.5231,97.39,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,56217
P2,C,1,B,22.95,34.67,0.0031,0.4972,146.25,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,56217
P2,C,2,A,19.76,27.89,0.0035,0.5531,88.65,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,56217
P2,C,2,B,20.79,30,0.0033,0.5294,89.4,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,56217
P2,C,2,C,18.36,25.2,0.0037,0.5815,76.14,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,56217
P2,C,3,A,52.31,68.84,0.0032,0.3127,176.7,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,56217
P2,C,4,A,43.11,56.67,0.0037,0.4254,265.12,115,625,115,625,330,1770,30,0,C1-C2-Fill,50,330,0.1,56217
P3,A,1,1,19.01,26.08,0.0041,0.4587,78.13,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,119646
P3,A,1,2,21.89,29.93,0.0039,0.4314,108.42,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,119646
P3,A,2,1,18.05,26.85,0.004,0.4485,105.52,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,119646
P3,A,2,2,14.14,20.62,0.0045,0.5007,71.31,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,119646
P3,A,3,1,23.1,36.76,0.0038,0.37,190.28,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,119646
P3,A,4,1,13.91,21.54,0.0044,0.4888,85.51,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,119646
P3,B,1,1,20.83,29.09,-,-,-,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,120255
P3,B,1,2,21.82,29.89,0.004,0.4188,105.42,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,120255
P3,B,2,1,13.45,19.72,0.0046,0.5143,74.71,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,120255
P3,B,2,2,15.75,23.52,0.0044,0.4737,90.87,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,120255
P3,B,3,1,17.22,26.36,0.0041,0.4457,102.12,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,120255
P3,B,4,1,15.18,22.53,0.0045,0.4728,80.01,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,120255
P3,C,1,1,22.78,32.4,-,-,-,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,93929
